Summary Report
Generated: 2025-08-24T23:20:26.488344+00:00
Date Range: 2025-06-01T05:00:00+00:00 to 2025-06-30T05:00:00+00:00

Summary Metrics
Metric,Value
Total Sales,"$10,969.99"
Total Transactions,463
Average Ticket,$23.69
Total Tax,$755.94
Total Discounts,$30.52
Sales Growth,+0.00%
Transaction Growth,+0.00%
Top Product,Lahm Bi Ajeen

Daily Sales Trend
Date,Sales,Transactions
2025-06-02,$23.37,2
2025-06-03,$402.34,10
2025-06-04,$357.11,16
2025-06-05,$577.58,24
2025-06-06,$543.98,30
2025-06-07,$459.40,22
2025-06-08,$363.97,16
2025-06-09,$241.56,17
2025-06-10,$287.06,16
2025-06-11,$257.01,11
2025-06-12,$318.36,13
2025-06-13,$270.63,14
2025-06-14,$349.17,15
2025-06-15,$776.18,28
2025-06-16,$169.33,13
2025-06-17,$300.00,16
2025-06-18,$457.72,14
2025-06-19,$177.98,11
2025-06-20,$533.68,23
2025-06-21,$542.37,17
2025-06-22,$255.97,11
2025-06-23,$520.90,12
2025-06-24,$270.97,12
2025-06-25,$603.53,22
2025-06-26,$162.18,9
2025-06-27,$340.88,20
2025-06-28,$684.30,26
2025-06-29,$722.46,23

Payment Method Distribution
Method,Amount,Count,Percentage
CARD_TERMINAL,"$8,270.33",357,75.47%
CASH,"$2,688.21",112,24.53%
